SiteName;Port;HostHeader;BindingInformation;CertificateHash;CertificateSubject;CertificateIssuer;CertificateExpiry;CertificateFriendlyName;CertificateStatus;CertificateType;BindingType;Server
Site_rh;443;rh.optimedit.eu;*:443:rh.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_rh;8063;rh.optimedit.eu;*:8063:rh.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8063);OPT-IIS-02.optimedit.eu
Site_ce;443;ce.optimedit.eu;*:443:ce.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_ce;8064;ce.optimedit.eu;*:8064:ce.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8064);OPT-IIS-02.optimedit.eu
Site_it;443;it.optimedit.eu;*:443:it.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_it;8065;it.optimedit.eu;*:8065:it.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8065);OPT-IIS-02.optimedit.eu
Site_production;443;production.optimedit.eu;*:443:production.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_production;8066;production.optimedit.eu;*:8066:production.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8066);OPT-IIS-02.optimedit.eu
Site_formation;443;formation.optimedit.eu;*:443:formation.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_formation;8067;formation.optimedit.eu;*:8067:formation.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8067);OPT-IIS-02.optimedit.eu
Site_achat;443;achat.optimedit.eu;*:443:achat.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_achat;8068;achat.optimedit.eu;*:8068:achat.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8068);OPT-IIS-02.optimedit.eu
Site_commercial;443;commercial.optimedit.eu;*:443:commercial.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_commercial;8069;commercial.optimedit.eu;*:8069:commercial.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8069);OPT-IIS-02.optimedit.eu
Site_client;443;client.optimedit.eu;*:443:client.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_client;8070;client.optimedit.eu;*:8070:client.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8070);OPT-IIS-02.optimedit.eu
Site_juridique;443;juridique.optimedit.eu;*:443:juridique.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_juridique;8071;juridique.optimedit.eu;*:8071:juridique.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8071);OPT-IIS-02.optimedit.eu
Site_blog;443;blog.optimedit.eu;*:443:blog.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
